-83 69 -32 -82 93 -61 60 60 10 80 ; 11
-60 -23 -24 88 -56 -63 -91 -84 18 -22 ; -32
-47 8 96 -6 -45 17 42 69 -68 54 ; 12
35 42 -23 69 -17 76 7 26 -20 87 ; 28
-59 -83 97 80 35 75 -77 -9 9 2 ; 7
-18 -83 -72 -76 -4 -59 -35 52 42 -4 ; -26
-45 -11 69 -23 -68 -39 -29 -70 -67 -2 ; -29
35 50 -89 -13 47 -92 64 -32 58 -29 ; -1
33 -64 17 65 -64 68 -59 -31 -95 -52 ; -19
26 -63 -63 42 -57 19 7 -20 98 -98 ; -11
91 -21 -7 85 47 48 -21 88 55 -31 ; 33
-99 90 59 -39 -55 -73 81 -51 -56 -31 ; -18
-94 -26 -47 -21 -38 89 -62 -49 1 -59 ; -31
76 -77 -46 -83 85 -13 -83 44 -4 -81 ; -19
31 -70 -71 13 10 51 85 -44 -80 29 ; -5
-43 -7 -68 -74 16 89 -41 -87 62 48 ; -11
71 -96 -65 7 91 -78 96 -71 8 -5 ; -5
-39 -4 0 81 21 -3 6 70 -95 20 ; 5
6 64 86 -73 -39 17 77 63 -96 -42 ; 6
-91 44 10 47 93 43 33 -81 -3 -26 ; 6
-79 81 33 26 -15 -91 -96 61 -48 43 ; -9
73 81 88 -15 -4 -17 40 -57 -74 10 ; 12
34 10 60 73 -73 -36 -54 -18 -22 -46 ; -8
34 -8 56 50 21 65 -13 64 26 59 ; 35
-86 15 25 -33 0 96 7 89 40 -22 ; 13
91 -63 10 26 -51 0 46 -76 18 38 ; 3
-46 -96 74 16 14 -83 -37 -36 -44 89 ; -15
17 -83 43 60 -66 -33 -53 57 12 55 ; 0
-38 -72 19 -5 37 -10 13 -81 -91 87 ; -15
56 15 -1 58 66 -32 -47 19 3 70 ; 20
-72 92 94 77 86 -71 60 39 43 84 ; 43
98 -20 -56 -83 68 93 -17 74 17 79 ; 25
-47 -38 -89 -55 -79 55 -61 69 77 55 ; -12
-97 45 -94 -16 16 -1 14 -22 -67 62 ; -16
95 70 79 27 -74 -93 -25 -72 -51 -85 ; -13
-15 83 74 65 23 -2 40 -26 71 35 ; 34
-73 -38 -84 -26 63 14 -95 -16 19 89 ; -15
60 -58 85 -84 5 -32 -69 -51 43 -7 ; -11
12 80 -91 12 85 98 56 12 -6 -17 ; 24
37 64 17 65 -91 -33 15 -77 37 56 ; 9
-98 -37 28 67 -46 -4 52 -69 -3 23 ; -9
97 -49 -83 52 -55 16 -40 17 -11 86 ; 3
-67 -95 -38 99 -31 -6 -95 -25 60 26 ; -18
-13 -80 -99 11 95 -49 -16 89 97 -59 ; -3
-83 54 -28 59 77 57 -25 -88 18 24 ; 6
29 -11 -16 99 -56 -94 79 86 -33 14 ; 9
-59 -33 51 21 91 -81 7 -73 -37 -4 ; -12
-64 -37 -68 -93 -89 -67 68 83 -86 -12 ; -37
-65 69 -58 55 -51 -23 18 -18 32 53 ; 1
-40 51 -32 -19 -37 -89 -2 46 -59 66 ; -12
