34 48 99 ; 82 99
65 61 1 ; 126 1
32 40 12 ; 72 12
53 58 83 ; 111 83
65 32 44 ; 97 44
7 100 39 ; 107 39
3 23 65 ; 26 65
16 33 2 ; 49 2
91 12 53 ; 103 53
14 59 60 ; 73 60
26 47 75 ; 73 75
10 19 65 ; 29 65
71 17 31 ; 88 31
33 92 79 ; 125 79
63 46 27 ; 109 27
49 71 66 ; 120 66
87 77 8 ; 164 8
31 35 77 ; 66 77
70 75 20 ; 145 20
96 43 29 ; 139 29
93 45 71 ; 138 71
79 38 69 ; 117 69
39 52 88 ; 91 88
26 73 15 ; 99 15
26 2 80 ; 28 80
96 43 74 ; 139 74
53 40 16 ; 93 16
71 64 76 ; 135 76
36 77 44 ; 113 44
43 64 25 ; 107 25
20 39 70 ; 59 70
38 65 43 ; 103 43
56 63 55 ; 119 55
41 31 89 ; 72 89
43 52 57 ; 95 57
31 96 89 ; 127 89
10 27 18 ; 37 18
27 6 73 ; 33 73
99 49 36 ; 148 36
63 8 65 ; 71 65
30 37 31 ; 67 31
41 29 20 ; 70 20
78 71 71 ; 149 71
94 17 47 ; 111 47
39 29 30 ; 68 30
52 20 55 ; 72 55
98 80 96 ; 178 96
15 7 2 ; 22 2
48 40 11 ; 88 11
13 6 84 ; 19 84
10 70 15 ; 80 15
59 26 73 ; 85 73
1 50 57 ; 51 57
67 74 43 ; 141 43
27 31 7 ; 58 7
1 25 34 ; 26 34
35 14 7 ; 49 7
54 27 64 ; 81 64
67 63 22 ; 130 22
79 3 91 ; 82 91
99 76 39 ; 175 39
24 57 31 ; 81 31
71 63 99 ; 134 99
50 45 1 ; 95 1
38 73 76 ; 111 76
92 24 29 ; 116 29
28 19 43 ; 47 43
34 31 24 ; 65 24
74 84 75 ; 158 75
38 20 26 ; 58 26
68 56 38 ; 124 38
74 94 29 ; 168 29
45 100 87 ; 145 87
83 93 16 ; 176 16
84 55 86 ; 139 86
12 98 38 ; 110 38
88 71 58 ; 159 58
4 70 78 ; 74 78
77 66 59 ; 143 59
84 45 66 ; 129 66
74 42 74 ; 116 74
14 88 38 ; 102 38
30 75 43 ; 105 43
80 56 34 ; 136 34
75 79 34 ; 154 34
99 8 77 ; 107 77
2 56 50 ; 58 50
82 17 46 ; 99 46
10 3 27 ; 13 27
4 72 71 ; 76 71
40 93 56 ; 133 56
97 73 22 ; 170 22
10 76 88 ; 86 88
48 27 31 ; 75 31
27 28 7 ; 55 7
54 58 99 ; 112 99
39 64 2 ; 103 2
18 6 40 ; 24 40
72 96 52 ; 168 52
80 6 79 ; 86 79
