71 -56 54 -3 52 57 -1 11 50 ; 71 -56 54 -3 52 57 -1 11 50
-80 65 -13 36 -21 -92 67 26 -31 ; -80 65 -13 36 -21 -92 67 26 -31
8 63 46 42 83 -57 90 -71 ; 8 63 46 42 83 -57 90 -71
-48 60 ; -48 60
-14 71 -87 ; -14 71 -87
93 29 39 -96 97 26 ; 93 29 39 -96 97 26
-2 -11 11 75 ; -2 -11 11 75
-83 -51 -16 -61 -15 80 -40 ; -83 -51 -16 -61 -15 80 -40
-76 -61 ; -76 -61
24 26 -58 ; 24 26 -58
-90 73 -68 -68 -45 -46 -31 -52 74 ; -90 73 -68 -68 -45 -46 -31 -52 74
79 15 97 0 11 -39 ; 79 15 97 0 11 -39
-36 87 -54 -46 46 -17 -63 97 80 ; -36 87 -54 -46 46 -17 -63 97 80
-85 71 58 -41 93 -68 10 62 13 ; -85 71 58 -41 93 -68 10 62 13
22 31 63 -66 -44 -62 -68 -38 ; 22 31 63 -66 -44 -62 -68 -38
-13 16 -7 74 ; -13 16 -7 74
-44 40 -58 73 56 ; -44 40 -58 73 56
39 -63 25 52 -99 -20 -60 42 69 ; 39 -63 25 52 -99 -20 -60 42 69
-52 -29 79 -69 89 -14 -96 -32 -65 -42 ; -52 -29 79 -69 89 -14 -96 -32 -65 -42
-59 88 91 22 -23 -63 -56 -71 ; -59 88 91 22 -23 -63 -56 -71
-90 47 -85 -92 92 78 -21 -95 ; -90 47 -85 -92 92 78 -21 -95
37 93 35 75 ; 37 93 35 75
-13 -19 -98 -82 67 31 63 -93 -94 ; -13 -19 -98 -82 67 31 63 -93 -94
-91 95 37 -46 -28 -54 -71 -77 -27 46 ; -91 95 37 -46 -28 -54 -71 -77 -27 46
9 -34 56 -80 -41 15 ; 9 -34 56 -80 -41 15
23 30 -94 -67 65 -81 ; 23 30 -94 -67 65 -81
-69 -70 -66 ; -69 -70 -66
-66 62 27 41 -42 73 71 -19 42 ; -66 62 27 41 -42 73 71 -19 42
3 -23 80 -37 ; 3 -23 80 -37
59 19 -2 96 6 15 61 ; 59 19 -2 96 6 15 61
-16 -95 47 -71 -32 35 -88 -39 ; -16 -95 47 -71 -32 35 -88 -39
64 93 ; 64 93
26 -91 -16 -39 47 ; 26 -91 -16 -39 47
17 -31 70 49 -86 -20 43 -47 -26 ; 17 -31 70 49 -86 -20 43 -47 -26
-38 60 86 89 -85 -21 -1 ; -38 60 86 89 -85 -21 -1
90 -39 90 -59 -46 -45 -18 83 81 ; 90 -39 90 -59 -46 -45 -18 83 81
-67 33 -63 -70 -98 -32 92 -65 ; -67 33 -63 -70 -98 -32 92 -65
-90 -83 -38 97 ; -90 -83 -38 97
96 -19 -93 -48 -57 -54 -36 31 78 ; 96 -19 -93 -48 -57 -54 -36 31 78
-50 11 -59 -75 ; -50 11 -59 -75
22 87 -81 70 19 36 ; 22 87 -81 70 19 36
-51 -10 94 -3 -90 34 -94 ; -51 -10 94 -3 -90 34 -94
94 98 -69 -50 90 -78 -33 ; 94 98 -69 -50 90 -78 -33
30 -29 87 ; 30 -29 87
22 59 ; 22 59
8 99 100 -57 ; 8 99 100 -57
28 5 ; 28 5
-12 -73 -33 ; -12 -73 -33
47 94 79 -41 0 85 63 -67 71 27 ; 47 94 79 -41 0 85 63 -67 71 27
57 -55 42 64 -86 47 10 ; 57 -55 42 64 -86 47 10
-13 -34 50 -59 -27 68 -38 ; -13 -34 50 -59 -27 68 -38
6 25 69 -15 ; 6 25 69 -15
-59 45 82 -74 65 97 -31 90 ; -59 45 82 -74 65 97 -31 90
17 74 -75 13 53 99 -30 97 ; 17 74 -75 13 53 99 -30 97
39 50 -28 -57 49 53 63 5 ; 39 50 -28 -57 49 53 63 5
-86 -75 -49 -58 -92 -44 ; -86 -75 -49 -58 -92 -44
23 41 20 93 ; 23 41 20 93
40 30 -41 -32 -96 ; 40 30 -41 -32 -96
94 -61 ; 94 -61
-96 24 34 99 ; -96 24 34 99
84 -77 -18 4 ; 84 -77 -18 4
85 56 16 4 -93 76 ; 85 56 16 4 -93 76
44 -85 21 ; 44 -85 21
10 -40 -81 91 60 44 -22 ; 10 -40 -81 91 60 44 -22
-37 -50 -40 -72 ; -37 -50 -40 -72
-12 -22 72 1 -25 34 ; -12 -22 72 1 -25 34
-100 30 5 40 51 -65 35 ; -100 30 5 40 51 -65 35
-95 -3 51 -23 16 -31 ; -95 -3 51 -23 16 -31
53 16 54 36 -99 -26 82 -65 ; 53 16 54 36 -99 -26 82 -65
82 -6 ; 82 -6
-8 -49 47 84 -55 -100 -8 ; -8 -49 47 84 -55 -100 -8
-71 -48 -35 -8 -55 -55 50 -77 73 85 ; -71 -48 -35 -8 -55 -55 50 -77 73 85
-17 -30 -49 -70 83 -4 89 38 -71 ; -17 -30 -49 -70 83 -4 89 38 -71
62 96 -90 38 ; 62 96 -90 38
63 -5 -68 ; 63 -5 -68
-38 -21 63 92 -66 62 85 60 3 ; -38 -21 63 92 -66 62 85 60 3
-96 -4 59 -6 3 -86 68 ; -96 -4 59 -6 3 -86 68
-55 -74 45 ; -55 -74 45
-67 -47 ; -67 -47
-88 -95 -18 -89 69 80 24 66 ; -88 -95 -18 -89 69 80 24 66
-49 33 9 ; -49 33 9
-18 -55 -99 62 -13 9 41 -33 -73 ; -18 -55 -99 62 -13 9 41 -33 -73
93 21 -80 -56 -93 -92 56 ; 93 21 -80 -56 -93 -92 56
-35 -87 -85 -32 33 33 ; -35 -87 -85 -32 33 33
59 38 41 -62 23 0 18 88 ; 59 38 41 -62 23 0 18 88
95 5 -78 5 95 0 -70 52 71 31 ; 95 5 -78 5 95 0 -70 52 71 31
-84 -34 7 27 -34 ; -84 -34 7 27 -34
-18 -8 39 70 ; -18 -8 39 70
-21 5 -44 -17 -22 33 ; -21 5 -44 -17 -22 33
55 -99 -48 -37 -25 -56 -23 -81 -72 -3 ; 55 -99 -48 -37 -25 -56 -23 -81 -72 -3
-21 -26 -38 -45 80 ; -21 -26 -38 -45 80
43 -69 94 46 5 -38 43 13 24 88 ; 43 -69 94 46 5 -38 43 13 24 88
44 -78 63 -68 9 8 71 -56 -81 -79 ; 44 -78 63 -68 9 8 71 -56 -81 -79
-39 58 -74 88 -76 91 22 -53 ; -39 58 -74 88 -76 91 22 -53
-10 -97 84 ; -10 -97 84
7 1 -51 94 -38 46 75 40 -55 -100 ; 7 1 -51 94 -38 46 75 40 -55 -100
-88 -54 72 79 -55 23 -47 ; -88 -54 72 79 -55 23 -47
72 -28 70 -52 -59 28 -32 77 -32 ; 72 -28 70 -52 -59 28 -32 77 -32
83 -98 86 48 -37 -39 ; 83 -98 86 48 -37 -39
-58 -8 -64 -9 70 -87 ; -58 -8 -64 -9 70 -87
