,avg_fitness,best_fitness,avg_size,best_individual
0,1253868678311.0261,874193221979.064,11.07962,((X*(5.685808590326618*(7.188345706503734-2.0799557484748776)))*((-2.6395450525124735+(7.23313195178204-(1.9151709156712489*12.784000286529885)))*(12.86062380727968*(16.570874793203686-(13.369887272461487*10.617778128688158)))))
1,1253973565750.1328,738259771418.8115,11.0239,((X*(5.685808590326618*(7.188345706503734-2.0799557484748776)))*(((0.744566650966461-14.433270673792634)+(7.23313195178204-(1.9151709156712489*12.784000286529885)))*(12.86062380727968*(16.570874793203686-(13.369887272461487*10.617778128688158)))))
2,1266821101425.3086,56596542452.78084,13.2032,(X*((14.89865898833424-(15.061581828518396+(-1.3919288571799155/5.685808590326618)))*((((6.875263385016902+-3.093431260098645)*((X*(((16.570874793203686+X)+11.554681121873227)/(5.685808590326618/9.752759497125847)))-14.89865898833424))--4.09175967640905)*((8.964174314974803*(-3.566320639896192--3.520723231902877))+(8.429980488951772--1.7829332808448637)))))
3,7578323876877.018,54962186906.00412,17.08464,(((9.584184937585011-(X-(9.453846167683484/5.35604237182158)))+(16.401799975767492+-1.9541164099391173))*(((-3.24575717836456-10.900048572399378)*(0.24661570393574106-(7.338930498399787*(X/13.912272056978757))))*((12.414451773588286-(X*1.789612883266571))/2.6620630498037148)))
4,330218093935919.9,4041690146.305826,22.50578,((15.83646876382764+(X*((X+2.015314201973477)*5.0120131446134675)))*X)
5,4377837357233868.5,4041690146.305826,28.61676,((15.83646876382764+(X*((X+2.015314201973477)*5.0120131446134675)))*X)
6,8917955565254346.0,2975681582.997467,34.92978,(((((8.429980488951772+(-3.24575717836456*2.0799557484748776))-(-1.0091354317072683*6.313017436470503))/-1.7829332808448637)+X)*((-3.566320639896192/5.685808590326618)+(X*((X+(1.4510536824370073--2.1073698996232517))*5.0120131446134675))))
7,2.3045708267374336e+17,2053369855.493649,41.00938,((11.364572193388888/(5.3695872232827355+(7.338930498399787-10.431839489846194)))*(X*(((X+-1.0091354317072683)*X)+15.499904290218563)))
8,4.319426193066729e+19,2053369855.493649,47.13522,((11.364572193388888/(5.3695872232827355+(7.338930498399787-10.431839489846194)))*(X*(((X+-1.0091354317072683)*X)+15.499904290218563)))
9,5.943510903650099e+18,2053369855.493649,53.4198,((11.364572193388888/(5.3695872232827355+(7.338930498399787-10.431839489846194)))*(X*(((X+-1.0091354317072683)*X)+15.499904290218563)))
10,7.456353560142003e+24,2052460206.1214142,60.40996,(13.419144572463498+(2.5290979837922265-(5.3157152849570615*((-3.520723231902877-((8.541507235491807+((X-((X/(16.401799975767492*X))*X))*X))+8.964174314974803))*X))))
11,7.347748798526222e+24,986273694.9178954,67.65406,(((((12.784000286529885-(2.0799557484748776+2.2390939489966506))-6.313017436470503)/(((6.313017436470503-15.477849262663302)*(16.70706595482149+2.7156468324863194))/-3.2733228729030825))/16.924977660967222)-(14.360958225397642-((((1.9151709156712489/6.960652961636244)*(0.744566650966461*16.45655039726397))+(X-5.685808590326618))*(((X*(11.554681121873227-((X/9.657857890554492)/2.0799557484748776)))/5.685808590326618)+(X*((X+(-1.1808389435682916--2.1073698996232517))*5.0120131446134675))))))
12,1.1418226703170748e+30,904823879.7094578,73.38952,(((1.2878752568010015-(((5.35604237182158-X)/-1.0091354317072683)*(X-((-1.1101727986911794/8.092539864402074)-5.35604237182158))))*-1.1101727986911794)*(-2.1073698996232517*(X*((-1.3919288571799155/(1.2878752568010015*((3.986680348607493*(2.865920759648456+(X/((((-1.9541164099391173*(((16.38047443621442*(X--1.1808389435682916))*0.744566650966461)/-2.005051126583913))*((10.900048572399378*13.912272056978757)-(0.24661570393574106*X)))-(((((-2.005051126583913/7.021956679605337)+(-3.520723231902877-(((15.499904290218563+(7.021956679605337/-1.6423251263228984))+2.4257650748943984)/9.657857890554492)))-5.743722287704667)-16.38047443621442)+-0.21002581254143138))*2.015314201973477))))+2.6620630498037148)))-2.0799557484748776))))
13,2.2882238527637615e+26,681117489.4029568,75.52916,((((0.24661570393574106*((X-6.4905606288632)/(14.89865898833424+X)))*(((6.875263385016902/16.570874793203686)/(16.330009192006774+-1.6423251263228984))*((X/-4.09175967640905)-(10.617778128688158/(13.369887272461487+4.202410192609806)))))+(X+2.865920759648456))*((((X*13.369887272461487)/2.2390939489966506)*((6.313017436470503/(1.9151709156712489/(14.89865898833424-((2.5290979837922265*-4.09175967640905)/(-0.21002581254143138/5.685808590326618)))))*((7.188345706503734-2.865920759648456)/((6.875263385016902+11.364572193388888)*(X/2.4257650748943984)))))+(X*((X+(6.960652961636244/-2.1073698996232517))*5.0120131446134675))))
14,1.8159877250803052e+25,550824950.2110744,78.53288,((1.8522922707019784+((X-((9.453846167683484/12.414451773588286)/(((14.360958225397642/((((X+(-2.6395450525124735/2.015314201973477))*5.0120131446134675)/(((7.047191525405708+16.70706595482149)+5.3695872232827355)-(12.414451773588286*16.45655039726397)))/13.912272056978757))/-2.1073698996232517)/8.540303650087811)))*((14.360958225397642-X)+(X*((X+((16.868392502245193/(10.617778128688158-(-1.1101727986911794-8.429980488951772)))*-0.21002581254143138))*5.0120131446134675)))))-X)
