,avg_fitness,best_fitness,avg_size,best_individual
0,39201192.230480336,413.9172025456742,11.00794,(X/((((9.571906229715667/0.457239667279949)+(X-11.27302728485872))+10.875990559681012)/7.87149497501486))
1,1687838.9248070149,407.28636703995966,11.21572,(15.195720160263939/((((4.813296463436396*8.525260530309506)/X)+5.182735698680338)-2.1730365488351))
2,549179.6793722323,407.28636703995966,15.21768,(15.195720160263939/((((4.813296463436396*8.525260530309506)/X)+5.182735698680338)-2.1730365488351))
3,49110619.17529846,407.28636703995966,19.67726,(15.195720160263939/((((4.813296463436396*8.525260530309506)/X)+5.182735698680338)-2.1730365488351))
4,31632.769331389416,391.39036336617306,22.45186,(X/(2.0194590578557765*((14.211354571644591+-2.9749112545450695)/(8.525260530309506-X))))
5,22308.999451882733,372.53263110415674,24.00702,(((((7.681410893362154-(((16.616041712843383/(15.010015934885779*-2.5700880993556687))/(2.8938470760412196--4.067874062520318))-14.001513881755951))/(13.530867411344381*((4.813296463436396/(4.625845802317931+1.3295232223721447))+8.351219973886543)))/11.27302728485872)-(4.856190555437582-(4.856190555437582-(10.875990559681012-(16.3939727663782-((X*15.195720160263939)/11.570929622632118))))))*(X/14.155689690871736))
6,19797.092885309008,348.8735622726509,26.09356,(X/(7.681410893362154-((8.85067897256624/(12.583881833578936-10.875990559681012))-(((((X*(13.757126248474322-0.962913106383688))+5.642560693450616)/((X/((((-2.1360628465637426+2.8258282192254276)/4.457014468211531)/((14.032850620763721*-2.3901863660749783)-2.8258282192254276))-(5.973336816529072-(((8.525260530309506/(9.11564620180373*14.98560042758464))/-4.067874062520318)+5.269068191628191))))+3.5817179164544566))-(9.571906229715667/10.875990559681012))/4.960175680308989))))
7,45678.0884279647,311.98716424586854,32.12306,(((((9.11564620180373*X)/((12.551907518598007/11.074435304112786)+((((16.588641487949843/((((-2.3901863660749783+((3.5817179164544566/(-3.8174668686697113+7.8883882808393295))*X))/(11.612570379469808+2.1730365488351))/8.262708530865579)/(2.463304365301995+0.9185268032764498)))-(5.182735698680338+8.525260530309506))-14.155689690871736)/16.709018612902263)))/13.530867411344381)-X)/-2.3901863660749783)
8,128460202.8337201,311.98716424586854,41.87724,(((((9.11564620180373*X)/((12.551907518598007/11.074435304112786)+((((16.588641487949843/((((-2.3901863660749783+((3.5817179164544566/(-3.8174668686697113+7.8883882808393295))*X))/(11.612570379469808+2.1730365488351))/8.262708530865579)/(2.463304365301995+0.9185268032764498)))-(5.182735698680338+8.525260530309506))-14.155689690871736)/16.709018612902263)))/13.530867411344381)-X)/-2.3901863660749783)
9,92450.94724819307,303.9224269205575,51.0863,(X/(((13.90472374746389/(((((-0.3910097919285942*(((11.570929622632118-16.68389013177788)*4.625845802317931)-((((13.90472374746389/(10.954661611018722--4.067874062520318))*0.9185268032764498)+(5.364694681633974/((8.351219973886543+-3.8174668686697113)-(((((7.681410893362154+(3.6898654472780485-((11.570929622632118-16.68389013177788)*4.625845802317931)))/(14.001513881755951-((((11.570929622632118*16.709018612902263)*-2.5700880993556687)+12.186398184418383)+(7.681410893362154*(-2.159108961651259/13.323270487111003)))))*7.87149497501486)+2.1730365488351)-(2.8258282192254276/(10.954661611018722/0.9185268032764498))))))+15.010015934885779)))/(13.90472374746389/2.463304365301995))-((3.5817179164544566-(11.27302728485872/((X*3.007409574736714)/(4.111958533661424+(0.9185268032764498+5.364694681633974)))))+14.032850620763721))/(15.375311586591621+X))*14.043681607055053))*0.6940376042732952)+2.1730365488351))
