,avg_fitness,best_fitness,avg_size,best_individual
0,2123762.690680103,1304.3799999999974,7.01586,(2.602697336347129+5.240279902998989)
1,37183.98822573172,1156.233701803019,6.75992,(5.159713086584317-(((cos(0.18896028041910462)-(0.6436412392692432+-2.1631139689055594))/1.8115113364833997)-(4.389880208687504-(1.8115113364833997+(-0.04239280411450075*X)))))
2,19669.781175097272,457.6456531477097,7.0286,((2.602697336347129--4.714691054832409)-(1.8115113364833997+(-0.04239280411450075*X)))
3,95191.41504232836,457.6456531477097,7.7805,((2.602697336347129--4.714691054832409)-(1.8115113364833997+(-0.04239280411450075*X)))
4,26006.984868317002,457.6456531477097,8.82966,((2.602697336347129--4.714691054832409)-(1.8115113364833997+(-0.04239280411450075*X)))
5,27957.14710608881,457.6456531477097,10.10594,((2.602697336347129--4.714691054832409)-(1.8115113364833997+(-0.04239280411450075*X)))
6,40932.805156955954,457.6456531477097,11.63122,((2.602697336347129--4.714691054832409)-(1.8115113364833997+(-0.04239280411450075*X)))
7,17578.501073107516,456.9710713325046,13.53324,((((-4.714691054832409-(5.056144982548085+-4.041805806873615))/-4.106136130173262)-(1.8115113364833997+(-0.04239280411450075*X)))+5.888562090344671)
8,19608.350217191488,456.943942785488,15.76462,((((-4.714691054832409-(4.750636627660768+((4.389880208687504/2.622571578063086)/cos(sin((sin(5.888562090344671)+-0.5723349567931386))))))/-4.106136130173262)-(1.8115113364833997+(-0.04239280411450075*X)))+4.39436062364628)
9,39812.257852194125,456.943942785488,18.53726,((((-4.714691054832409-(4.750636627660768+((4.389880208687504/2.622571578063086)/cos(sin((sin(5.888562090344671)+-0.5723349567931386))))))/-4.106136130173262)-(1.8115113364833997+(-0.04239280411450075*X)))+4.39436062364628)
10,39273.8422374435,456.94137944945385,23.03716,((((-4.714691054832409-(((((2.647384484159982--4.106136130173262)-(cos(-4.8445225486713435)*-3.2354780190187054))+(cos((sin(((((-4.8445225486713435/cos(0.5702420007363251))-5.425410967855196)/(0.5702420007363251*(((-3.9436207928941243-3.065815988974565)+4.255003370850611)/(2.5432515687875785+4.218599283770448))))*((5.917478435792898+cos(((4.286448083206855--4.46914041790173)+-4.8445225486713435)))+(5.219032462726972+2.647384484159982))))+4.254831935571806))-cos((-3.0523935547152763/(4.633002038942198/4.462657254417417)))))--0.9537045148906138)+(sin((5.240279902998989+sin(-3.7766446213428972)))*5.425410967855196)))/-4.106136130173262)-(1.8115113364833997+(-0.04239280411450075*X)))+4.39436062364628)
