,avg_fitness,best_fitness,avg_size,best_individual
0,1311368.4646453536,238.25757357150138,6.96624,(((((-4.449438514669147+0.9973917141309698)*X)+(-2.608595480147601+cos(-0.9213791950270664)))/((-2.186520072487856/(-0.5236220992068761*-0.5236220992068761))*0.5013384513169372))*((-4.950463387354536-(cos(-0.9007312292112575)/(-1.8198876678113636*-2.520290757352752)))*sin(-2.318657690013893))) 
1,5363.234556846885,227.71720999690115,7.06888,((((2.7253492406466986+0.8504531696368414)/(-1.8198876678113636/4.268523616144966))*sin(3.26162004705432))+(0.8504531696368414+(X*3.580252024884672))) 
2,5388.217312733039,227.71720999690115,8.86506,((((2.7253492406466986+0.8504531696368414)/(-1.8198876678113636/4.268523616144966))*sin(3.26162004705432))+(0.8504531696368414+(X*3.580252024884672))) 
3,6357.85616078563,227.71720999690115,11.16488,((((2.7253492406466986+0.8504531696368414)/(-1.8198876678113636/4.268523616144966))*sin(3.26162004705432))+(0.8504531696368414+(X*3.580252024884672))) 
4,10842.24844588234,227.71720999690115,12.89592,((((2.7253492406466986+0.8504531696368414)/(-1.8198876678113636/4.268523616144966))*sin(3.26162004705432))+(0.8504531696368414+(X*3.580252024884672))) 
5,5021.068391081807,227.71720999690115,13.587,((((2.7253492406466986+0.8504531696368414)/(-1.8198876678113636/4.268523616144966))*sin(3.26162004705432))+(0.8504531696368414+(X*3.580252024884672))) 
6,53770.91846666787,205.64258060754585,14.22354,(cos((X-sin((sin(sin((-2.8044503116058666*X)))*-2.8044503116058666))))+(0.8504531696368414+(X*3.580252024884672))) 
7,2973.7715614345693,200.34972582003482,16.44916,(sin(((-2.318657690013893-X)+-1.1402145035763391))/(sin(cos(sin((3.580252024884672+(-4.132158615784636+-0.27755105843001093)))))-sin(sin(sin(((3.07368611022021*X)-sin((((0.5013384513169372/(sin((cos((-0.9232075320260709*-2.520290757352752))--0.9213791950270664))-((5.543400378788196*2.924672366014682)-sin(cos((sin((X*3.580252024884672))/-0.5368003959280259))))))/0.9616098284114223)/5.361337363673824)))))))) 
8,8502.149234979977,199.54698407731001,19.74946,((sin((3.920932741094555+(X--2.8044503116058666)))/sin(-2.6132709215503658))/(-0.5368003959280259+(sin(-2.6132709215503658)*((-3.019100087347499*(X-(1.3289417579676508*(cos(cos((5.436685447739462+-4.297954302215076)))/3.684006165221053))))+-1.1402145035763391)))) 
9,1877.56542300984,190.3777549642711,23.5181,(X+((((-1.4378773467587194-2.0381160116375856)/((-2.8044503116058666--0.27755105843001093)-(-2.924297420952383-(((2.0381160116375856-sin((3.7758071795130004/5.543400378788196)))*sin(5.528641434664074))/-1.6359722472426679))))/(cos(cos(((((X-sin(-2.6132709215503658))--1.5681271742785494)-sin(-0.41864970566371706))*-1.9855610028636441)))+(-2.6755478153525307*X)))/-2.318657690013893)) 
