,avg_fitness,best_fitness,avg_size,best_individual
0,3590123.4732767968,281.98884183603474,10.98252,(15.577769884986417+(8.868906209003207/(13.308879436665315/((X-11.781061550105473)*(3.145453398501086--1.0273873561964986))))) 
1,258458.12806070474,180.05182186001502,10.65104,((((3.0413616851392646/8.414198978994781)/7.696023511910504)/2.6423768393372686)-(((X*((-0.08302684022055207-1.025449470201612)+-3.7098718292800665))/1.168550151540118)+(14.98973606835984--2.44361077408096))) 
2,26720.41138670415,177.28086780692232,11.59634,((-4.879408477204027*((0.20523735580330538+15.356150311850726)/((X+10.521536984918379)+(4.349020123465943-10.503802728678206))))+(3.0413616851392646/(((13.99939703391103+-2.44361077408096)/3.145453398501086)*12.269178680263323))) 
3,6181.267645399269,177.28086780692232,13.21572,((-4.879408477204027*((0.20523735580330538+15.356150311850726)/((X+10.521536984918379)+(4.349020123465943-10.503802728678206))))+(3.0413616851392646/(((13.99939703391103+-2.44361077408096)/3.145453398501086)*12.269178680263323))) 
4,3011.998487317568,147.88219689901945,15.56712,((((3.0413616851392646/8.414198978994781)/(0.6272710746163979-13.971328843122393))/2.6423768393372686)-(((X*(((14.244510951883274/(-1.0273873561964986-11.473569585520636))-1.1814594451966238)+-3.7098718292800665))/1.168550151540118)+(14.98973606835984--2.44361077408096))) 
5,3257.0556798210673,147.88219689901945,18.94244,((((3.0413616851392646/8.414198978994781)/(0.6272710746163979-13.971328843122393))/2.6423768393372686)-(((X*(((14.244510951883274/(-1.0273873561964986-11.473569585520636))-1.1814594451966238)+-3.7098718292800665))/1.168550151540118)+(14.98973606835984--2.44361077408096))) 
6,4338.933141358447,147.88219689901945,23.6571,((((3.0413616851392646/8.414198978994781)/(0.6272710746163979-13.971328843122393))/2.6423768393372686)-(((X*(((14.244510951883274/(-1.0273873561964986-11.473569585520636))-1.1814594451966238)+-3.7098718292800665))/1.168550151540118)+(14.98973606835984--2.44361077408096))) 
7,132522.4950411025,142.01344926500875,28.6387,((-4.879408477204027*((0.20523735580330538+(2.1900435397917857+15.19501090485939))/((X+10.521536984918379)+(4.349020123465943-10.503802728678206))))+(3.0413616851392646/1.1814594451966238)) 
8,324881.16212628846,133.09467045266354,33.89362,((-4.879408477204027*((0.20523735580330538+15.356150311850726)/((X+10.521536984918379)+(4.349020123465943-10.503802728678206))))+X) 
9,8832.334621058097,133.09467045266354,40.65996,((-4.879408477204027*((0.20523735580330538+15.356150311850726)/((X+10.521536984918379)+(4.349020123465943-10.503802728678206))))+X) 
