,avg_fitness,best_fitness,avg_size,best_individual
0,124850996.02747376,2542.9459668459854,10.9975,(((((7.870190027900055+16.731474859293417)/11.997349231666984)/(X+3.688616127821698))*-1.32691682489022)+(5.025760871424698-3.8972994870860838)) 
1,1471555.865159533,2542.9459668459854,11.03042,(((((7.870190027900055+16.731474859293417)/11.997349231666984)/(X+3.688616127821698))*-1.32691682489022)+(5.025760871424698-3.8972994870860838)) 
2,181915.9352490553,2542.9459668459854,13.92102,(((((7.870190027900055+16.731474859293417)/11.997349231666984)/(X+3.688616127821698))*-1.32691682489022)+(5.025760871424698-3.8972994870860838)) 
3,83611.00876538447,2355.663568700701,16.6379,(((((7.836788605376128+(((X/5.025760871424698)*(2.3189374481614005/7.397849696622412))/(-4.613338686643938+4.583849447514506)))/7.624317159943061)*1.8871499519065829)+-0.3542244562369943)*(X/3.688616127821698)) 
4,61226.39850186916,2355.663568700701,18.597,(((((7.836788605376128+(((X/5.025760871424698)*(2.3189374481614005/7.397849696622412))/(-4.613338686643938+4.583849447514506)))/7.624317159943061)*1.8871499519065829)+-0.3542244562369943)*(X/3.688616127821698)) 
5,36103.27993750483,2355.663568700701,21.01238,(((((7.836788605376128+(((X/5.025760871424698)*(2.3189374481614005/7.397849696622412))/(-4.613338686643938+4.583849447514506)))/7.624317159943061)*1.8871499519065829)+-0.3542244562369943)*(X/3.688616127821698)) 
6,30669.586037401845,1686.4118191703678,23.9462,((3.688616127821698-((X*X)+(0.48614162017941087/16.038327468798844)))/(14.257262061321619/(16.038327468798844-(8.901708516472201+(12.505381246180285/16.038327468798844))))) 
7,23688.65627339257,1634.8001926135826,28.376,((3.688616127821698-((X*X)+(0.48614162017941087/14.257262061321619)))/(2.376280874130213-((X/((-0.1032466135637744*13.660736872007018)*(-4.553577316533913/(((((9.769059481162666+7.665546407365836)--0.3542244562369943)/((3.688616127821698+2.3189374481614005)+13.660736872007018))+7.665546407365836)/-4.613338686643938))))/3.688616127821698))) 
8,1046264.1243141091,1286.4048200145576,34.2321,((3.688616127821698-((X*X)+((7.836788605376128/(((16.31103683592659/(-0.9108461866677136/-3.1870641432527727))+(7.836788605376128-11.297590455930326))*15.759166755739368))-((16.48473613603026/(12.054382414960958+15.759166755739368))*X))))/(8.384516765765504-((((13.871719951087442+6.804072696544109)-1.8871499519065829)/(9.317704702443116/(9.395928948906434+(11.670491461907464+(((5.330790372024227/((-1.9891614086577318+5.630160431997812)*1.8871499519065829))+(2.0568618863093153/(16.548641186273088*-0.1032466135637744)))*-0.1032466135637744)))))/7.665546407365836))) 
9,30516.07355147285,1064.5725898318444,40.54498,((3.688616127821698-((X*X)+((7.836788605376128/(((16.31103683592659/(-0.9108461866677136/(7.836788605376128-13.660736872007018)))+(7.836788605376128-((2.0568618863093153-16.31103683592659)+(13.691790574549035+9.769059481162666))))*15.759166755739368))-((16.48473613603026/(12.054382414960958+15.759166755739368))*X))))/2.376280874130213) 
10,218393.60345858688,997.3480959573093,47.74506,((3.688616127821698-((X*X)+((7.836788605376128/(((16.31103683592659/(-0.9108461866677136/(7.836788605376128-13.660736872007018)))+(7.836788605376128-((2.0568618863093153-16.31103683592659)+(13.691790574549035+9.769059481162666))))*15.759166755739368))-((16.48473613603026/(12.054382414960958+7.809951404981998))*X))))/2.376280874130213) 
11,20998.33530299589,995.3615099345717,55.5206,((3.688616127821698-((X*X)+(X/(((-0.3542244562369943/7.624317159943061)/4.583849447514506)+(-2.17013803858387-(-0.8365188036439992+(0.27474265922653984/((0.989184143232837/5.630160431997812)-(1.5208290106216413-8.566122705229256)))))))))/(8.384516765765504-(0.6478301064330303+((15.441580115075322/9.395928948906434)*(6.796839166141126/2.0568618863093153))))) 
12,40738.36019775137,990.1634901439219,64.29182,(((((2.0568618863093153*(((9.596725964284449-1.8871499519065829)-12.505381246180285)/((6.796839166141126*(4.671532498360932/((11.997349231666984-((9.005138603499974+-1.2843738772035174)*(4.5401794912621245/(((9.395928948906434+14.107803695042392)-16.436599413187835)+12.985885623311148))))--1.2843738772035174)))-(((-1.32691682489022/3.8972994870860838)*7.836788605376128)*0.48614162017941087))))+6.6053710175901745)+(X/(((6.442931546697061+8.566122705229256)/6.796839166141126)/(9.681515500103355/(X+(9.005138603499974*0.6705550573796533))))))+((((((0.48614162017941087/13.691790574549035)--0.1981075605243401)-(((4.583849447514506-X)/1.2877203635071455)/7.411177204135631))/11.670491461907464)/((0.6478301064330303*((X/12.505381246180285)--0.3542244562369943))/(5.079434540040053/16.731474859293417)))-(X*X)))*(4.5401794912621245/(((9.395928948906434+(((((8.901708516472201-(2.6890998366295555/16.291962375032888))/9.395928948906434)-(13.660736872007018+6.6053710175901745))+(7.411177204135631/((-4.369320525635978-(7.397849696622412/((9.005138603499974+((0.27474265922653984/8.365269404973118)/(9.769059481162666/((7.397849696622412+16.544158851529705)/12.889577560736921))))-(X*((9.325407668532158*3.8972994870860838)/(15.441580115075322-9.005138603499974))))))+16.548641186273088)))/(((((0.989184143232837*(11.670491461907464*3.23753865342886))*6.796839166141126)--0.7299486163803275)*8.617581183727713)/9.005138603499974)))-(-4.553577316533913+2.0568618863093153))+-0.8365188036439992))) 
13,138094.10522372051,954.0270619864184,71.59706,((3.688616127821698-(((X/((0.6478301064330303/16.291962375032888)+4.583849447514506))-(2.3189374481614005-(X-(-1.944533872595767*0.6585131881603363))))*X))/(2.6890998366295555+((0.989184143232837-((1.8871499519065829/-4.369320525635978)/(12.261219726862588--0.7299486163803275)))/((6.804072696544109+((((7.624317159943061-((12.261219726862588/X)/(9.681515500103355-4.913812882474218)))+(X-2.376280874130213))/7.411177204135631)*(12.889577560736921*(-2.17013803858387/X))))-(-4.613338686643938/(12.985885623311148--0.3542244562369943)))))) 
14,73628.44577111989,949.9278728144626,78.43796,((3.688616127821698-(((X-0.6585131881603363)*X)+(0.48614162017941087/4.5401794912621245)))/2.0568618863093153) 
15,36741.995216104544,906.2202836559078,89.71232,((3.688616127821698-((X*X)+((3.688616127821698-((X*(9.317704702443116+1.5208290106216413))+(((((X*(2.3189374481614005-9.681515500103355))+5.079434540040053)-((12.054382414960958-7.836788605376128)+(((X+((0.5673799305744236+((13.597225799708873-6.442931546697061)/((12.505381246180285/(0.989184143232837/(4.955850617216052+(13.871719951087442+16.31103683592659))))-7.624317159943061)))/5.025760871424698))/11.997349231666984)*X)))/4.123378295586713)/(((4.671532498360932*5.630160431997812)/(14.76662031681817+4.583849447514506))*6.442931546697061))))/11.997349231666984)))/(4.123378295586713-2.0568618863093153)) 
16,28711.69302550598,839.4520399067493,105.20614,((3.688616127821698-(((X/((0.6478301064330303/16.291962375032888)+4.583849447514506))-(2.3189374481614005-(X-(-1.944533872595767*0.6585131881603363))))*X))/(2.6890998366295555+((0.989184143232837-((1.8871499519065829/-4.369320525635978)/(12.261219726862588--0.7299486163803275)))/((6.804072696544109+((((7.624317159943061-((12.261219726862588/X)/(9.681515500103355-9.681515500103355)))+(X-2.376280874130213))/7.411177204135631)*(12.889577560736921*(-2.17013803858387/X))))-((X*X)/11.670491461907464))))) 
17,110892.98603823957,722.1473644548853,120.4783,((3.688616127821698-((X*X)+(((X-(((-1.9891614086577318+5.630160431997812)*1.8871499519065829)/(14.76662031681817+(6.796839166141126/2.1085842792867977))))*(2.376280874130213+(-0.9108461866677136*(-1.9891614086577318*-0.1981075605243401))))/(-1.252932316991462/0.6585131881603363))))/(2.3189374481614005-((3.688616127821698-((X*X)+(2.0568618863093153/9.395928948906434)))/7.665546407365836))) 
18,24307.689222369685,722.1473644548853,137.5516,((3.688616127821698-((X*X)+(((X-(((-1.9891614086577318+5.630160431997812)*1.8871499519065829)/(14.76662031681817+(6.796839166141126/2.1085842792867977))))*(2.376280874130213+(-0.9108461866677136*(-1.9891614086577318*-0.1981075605243401))))/(-1.252932316991462/0.6585131881603363))))/(2.3189374481614005-((3.688616127821698-((X*X)+(2.0568618863093153/9.395928948906434)))/7.665546407365836))) 
19,38712.03388318254,621.0030215813167,155.1232,((3.688616127821698-((X*(((X*(16.544158851529705/7.624317159943061))-((16.548641186273088-(11.997349231666984+(9.681515500103355-((X*(((0.989184143232837-1.2877203635071455)/((-0.1032466135637744*12.985885623311148)*15.759166755739368))/3.688616127821698))/((9.395928948906434/((((16.31103683592659/(-0.9108461866677136/((7.397849696622412*((6.442931546697061/2.376280874130213)*(X*(((9.395928948906434+(6.804072696544109+((((0.989184143232837-6.804072696544109)/(2.376280874130213-0.6585131881603363))+((((9.005138603499974/2.9542227090732194)*((((8.365269404973118-16.731474859293417)/15.759166755739368)+7.624317159943061)--0.3542244562369943))/-1.252932316991462)/(3.688616127821698-(X/6.804072696544109))))*-0.1032466135637744)))/0.27474265922653984)*(X/9.325407668532158)))))-((16.548641186273088/2.9542227090732194)/(0.6478301064330303/12.826411210323126)))))/7.411177204135631)-((4.583849447514506-16.731474859293417)/7.870190027900055))+((8.365269404973118+((-1.252932316991462+7.836788605376128)/2.1085842792867977))*-0.1032466135637744)))+6.804072696544109)))))/((4.583849447514506+14.76662031681817)*(((3.688616127821698-((X*X)+(0.48614162017941087/11.997349231666984)))/(2.9542227090732194-((7.836788605376128/((((6.6053710175901745-(4.955850617216052*(X+12.985885623311148)))-0.6585131881603363)+X)+(-3.770043163665267+(X+(9.005138603499974*0.6705550573796533)))))/7.665546407365836)))-10.418073167578132))))-2.376280874130213))+((((15.441580115075322-((9.395928948906434+8.384516765765504)*9.395928948906434))/(((6.796839166141126/16.436599413187835)*(12.054382414960958*(((4.583849447514506-X)/1.2877203635071455)/7.411177204135631)))+9.596725964284449))*(2.376280874130213/8.365269404973118))/((X*X)+((15.441580115075322-11.517664476717634)/11.997349231666984)))))/(8.384516765765504-2.0568618863093153)) 
