,avg_fitness,best_fitness,avg_size,best_individual
0,36350401.68353037,2255.5278856742902,11.00232,(((12.738349621948839/10.99513384339177)+16.152814208178512)/((((X+-2.8373164635437256)-6.369020789982505)/9.797894169860056)*((7.852408302394172--0.4780137908978652)*-4.5524172629618995)))
1,8039111.696296007,2148.370676706078,10.2042,(X*((((11.685829524999907-0.7515304310934656)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
2,1314370.7880109635,2148.370676706078,10.4306,(X*((((11.685829524999907-0.7515304310934656)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
3,20220.085639417535,2148.370676706078,10.84922,(X*((((11.685829524999907-0.7515304310934656)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
4,17137.425674458787,2132.5158456396357,12.01136,(X*((((11.685829524999907*0.7515304310934656)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
5,76461.271252781,2124.556597791402,14.04884,(X*((((11.685829524999907-X)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
6,61973.93857100517,2115.489493243756,16.84188,(X*(((((-2.8573454663074753+16.199876940440973)-X)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
7,20381.2346733108,2115.489493243756,20.78688,(X*(((((-2.8573454663074753+16.199876940440973)-X)*-1.7512098792790431)+((X*11.688669591488885)-(2.3975316201468875*8.495246836307567)))/(11.903149416026384*12.333503568914232)))
8,17431.611524336495,2055.1788723651516,26.25218,((((0.7515304310934656/(((((16.269325742117775/3.311811456059509)/(-1.1676570056699247+11.688669591488885))+X)/5.39721745266068)/12.454313105756782))/7.852408302394172)+X)/5.39721745266068)
9,15323.688906839483,1912.9213073111066,32.41902,(((((((9.6753093335276/(-1.4540530819381652*((2.2687036996061805*8.351830656611629)-(6.638766587064444*11.681375985988314))))/11.792790634929556)*11.903149416026384)/(((1.0473038834975803/-2.8573454663074753)/((8.822526879249875/12.39053483405096)-(X/-0.19404281527546363)))/16.284471135389506))/15.910130299427617)+3.905651616653472)/5.39721745266068)
10,15367.71743281808,1379.6377534681262,39.70968,((6.638766587064444/6.221451543414295)-(((-2.8373164635437256-(0.5499624125078828-((0.1460736381179455+(9.6753093335276/-4.5524172629618995))+X)))/((11.648708064037969*5.39721745266068)*(9.6753093335276--3.193436776303435)))*(((-1.1450321350734-11.122258271326125)*0.6600073480846698)+((0.1460736381179455*-1.4540530819381652)+((((1.1969467679994965-(-4.5524172629618995/(12.738349621948839*5.6286326582051185)))-X)*((6.638766587064444*((5.6286326582051185+8.181863771653159)/2.3975316201468875))+((11.792790634929556*16.199876940440973)+14.738338290234012)))*0.7515304310934656)))))
11,13964.331145724824,1379.6377534681262,47.37644,((6.638766587064444/6.221451543414295)-(((-2.8373164635437256-(0.5499624125078828-((0.1460736381179455+(9.6753093335276/-4.5524172629618995))+X)))/((11.648708064037969*5.39721745266068)*(9.6753093335276--3.193436776303435)))*(((-1.1450321350734-11.122258271326125)*0.6600073480846698)+((0.1460736381179455*-1.4540530819381652)+((((1.1969467679994965-(-4.5524172629618995/(12.738349621948839*5.6286326582051185)))-X)*((6.638766587064444*((5.6286326582051185+8.181863771653159)/2.3975316201468875))+((11.792790634929556*16.199876940440973)+14.738338290234012)))*0.7515304310934656)))))
12,28995.59716054751,1379.6377534681262,54.6883,((6.638766587064444/6.221451543414295)-(((-2.8373164635437256-(0.5499624125078828-((0.1460736381179455+(9.6753093335276/-4.5524172629618995))+X)))/((11.648708064037969*5.39721745266068)*(9.6753093335276--3.193436776303435)))*(((-1.1450321350734-11.122258271326125)*0.6600073480846698)+((0.1460736381179455*-1.4540530819381652)+((((1.1969467679994965-(-4.5524172629618995/(12.738349621948839*5.6286326582051185)))-X)*((6.638766587064444*((5.6286326582051185+8.181863771653159)/2.3975316201468875))+((11.792790634929556*16.199876940440973)+14.738338290234012)))*0.7515304310934656)))))
13,645970.6410886012,1042.0453504852205,63.37248,((6.638766587064444/6.221451543414295)-(((-2.8373164635437256-(0.6600073480846698-((((11.648708064037969/((5.39721745266068-1.0473038834975803)-((-0.016327271133609322*16.445995179483056)/3.905651616653472)))-3.1901119518476424)+(9.6753093335276/-4.5524172629618995))+(X+(4.485615727109948/16.284471135389506)))))/((11.648708064037969*15.04130064058753)*((9.273326972382181+3.251913495340508)/(12.738349621948839-(1.2984201231411747*-1.1450321350734)))))*(((-1.1450321350734--1.1676570056699247)*0.6600073480846698)+((0.1460736381179455*-1.4540530819381652)+((((1.1969467679994965+(-4.5524172629618995/(12.738349621948839*5.6286326582051185)))-X)*((6.638766587064444*(8.495246836307567/(((5.39721745266068/(((11.685829524999907-(-3.6910248681027262/((((-3.3649267021983564-(((15.910130299427617*X)*2.2687036996061805)/12.39053483405096))/8.181863771653159)+0.6600073480846698)+((1.0473038834975803+(8.351830656611629+9.741586182144598))+5.6286326582051185))))/16.239899206441933)+X))+X)/5.39721745266068)))+((8.191731931572521-10.61967774793992)-8.822526879249875)))*0.7515304310934656)))))
