,avg_fitness,best_fitness,avg_size,best_individual
0,2052984.6971131286,631258.3852803857,7.00834,((13.753942680144107*(1.3043179759884485*X))*14.825210720691217)
1,1510184.861237976,630285.8595061597,7.20256,((((-3.7136552131958145-8.65518256517323)/sin(14.588121908121785))-sin(-4.846553358132553))*(X/cos((4.496854883472935-cos(1.7320463531261518)))))
2,1315450.8771140345,630285.8595061597,8.26166,((((-3.7136552131958145-8.65518256517323)/sin(14.588121908121785))-sin(-4.846553358132553))*(X/cos((4.496854883472935-cos(1.7320463531261518)))))
3,1300741.2252990794,628981.733728631,9.70136,((((16.45248768681325*(3.299623640809063+(((9.258795449878079*X)*16.702526357180297)+(cos(15.670055917530302)-15.349797085498885))))/9.680581793786784)-6.732142277131901)-14.825210720691217)
4,1458488.32185925,257736.09243652874,11.70828,((((((((15.670055917530302*sin(11.299620917165825))-11.829263556378706)-((5.679465609154384--0.9480977501789329)-9.867105260519768))/-4.053057979567828)*(X+-1.6876729624416291))*X)+11.995600898523833)*X)
5,1503081.187874862,166111.3762153518,14.63406,((X*8.65518256517323)-(((X*((-3.4208889737655017-(X-6.4260774225223845))-X))*(2.1401462641686653*X))+cos(-3.8455320518243967)))
6,1979777.8895551416,87203.89594557502,18.31102,((sin((-2.6605342324202024*X))+(cos(0.4479510987052642)-(-1.0825600365502024*((X*(X*4.787557192570006))+8.158709515687422))))*X)
7,2772512.204837599,86758.49584381148,22.26658,((sin((-2.6605342324202024*X))+(sin((6.921458539037319--1.7192166151071877))-(-1.0825600365502024*((X*(X*4.787557192570006))+8.158709515687422))))*X)
8,3916505.1913089026,68519.78971795981,26.3738,(((((X*X)*(X+((-1.6876729624416291/-1.0825600365502024)/(-1.6876729624416291-14.588121908121785))))*15.149709320441033)*5.4223363479493685)/16.933561873440937)
9,4273592.992241734,48833.24820202948,30.98002,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(15.349797085498885))))))+((((-4.744744404467409+(sin((-1.0956725140671306*((7.3142863046389905-(X*16.45248768681325))*X)))*-0.9124203360045549))/9.258795449878079)-9.909233493728696)/-4.014194200683306)))-14.025806252281637)
10,42318893.433158845,48833.24820202948,35.91956,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(15.349797085498885))))))+((((-4.744744404467409+(sin((-1.0956725140671306*((7.3142863046389905-(X*16.45248768681325))*X)))*-0.9124203360045549))/9.258795449878079)-9.909233493728696)/-4.014194200683306)))-14.025806252281637)
11,87804179.78647716,26211.836062709506,41.3833,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(15.349797085498885))))))+9.909233493728696))-14.025806252281637)
12,39009428.1318994,26211.836062709506,48.26238,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(15.349797085498885))))))+9.909233493728696))-14.025806252281637)
13,57640742.01885385,23140.76938382999,56.6802,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(0.4479510987052642))))))+(1.58902407258394*7.611462779862878)))-14.025806252281637)
14,158415808.2282724,23140.76938382999,62.87124,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(0.4479510987052642))))))+(1.58902407258394*7.611462779862878)))-14.025806252281637)
15,55857261.065704085,23140.76938382999,66.74932,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(0.4479510987052642))))))+(1.58902407258394*7.611462779862878)))-14.025806252281637)
16,61604673.91856651,23140.76938382999,70.38282,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(0.4479510987052642))))))+(1.58902407258394*7.611462779862878)))-14.025806252281637)
17,112811794.15718283,13663.32241411821,76.71462,((X*((4.75491264717715*(X/(9.426012479374863/(9.546848687970883*(X-sin(15.349797085498885))))))+((((-4.744744404467409+cos(((X-((5.4223363479493685-(-3.6642653360008532+X))/1.0401464229787543))*(cos(sin(cos((-1.0825600365502024-(((15.111006495770333+cos((-2.6605342324202024*1.0401464229787543)))-sin(((-2.6605342324202024/cos(-2.6605342324202024))*(-1.0825600365502024*X))))-X)))))+(X+(cos(11.43759464427854)+(15.314303396719517+6.7943628578063215)))))))/9.258795449878079)-((((X*X)+15.670055917530302)-5.4499412539037575)-9.876515480537199))/-4.014194200683306)))-14.025806252281637)
