,avg_fitness,best_fitness,avg_size,best_individual
0,54721887.71910127,922.8580899514786,7.00484,((2.381448120056854*-3.806371900051029)-(((sin(3.5021785168269197)+4.211331659125435)-(cos(X)+(6.306417202153556--0.5793728094197039)))+(4.2397981833910965*-1.5506640620343206)))
1,46330678.606783204,871.9999999999984,6.40634,(cos(cos(-3.806371900051029))+cos(X))
2,302759.6531158561,871.9999999999984,6.67892,(cos(cos(-3.806371900051029))+cos(X))
3,143680.4832018904,871.9999999999984,7.7293,(cos(cos(-3.806371900051029))+cos(X))
4,397803.2644269285,871.9999999999984,9.46408,(sin(0.7693862262772688)+cos(X))
5,116437.70162740182,454.0000000000028,11.39228,(cos(X)+cos((sin(sin((cos(X)*1.5792209719324664)))-cos(-0.4085211956417396))))
6,94466.47648534359,226.00000000000276,13.1218,(cos(X)+cos((sin((cos(X)+12.879305365824017))-cos(-0.4085211956417396))))
7,63828.25722680746,226.00000000000276,15.06842,(cos(X)+cos((sin((cos(X)+12.879305365824017))-cos(-0.4085211956417396))))
8,125131.82458387413,187.50000000000153,17.74626,(cos(X)+cos((sin(sin(sin(7.795704156666806)))-sin(sin(cos(X))))))
9,413772.80102308345,164.50000000000003,20.94586,(sin((sin(sin((7.855676325907087+X)))+cos(cos(cos((sin(-4.819619645704343)/(cos((cos(cos((sin((-1.5895213348399797/13.599722811432855))/8.972844148478373)))*sin(14.140909393753986)))+(sin((X*sin(15.048938615569437)))+3.680391134331428))))))))+cos(X))
10,42360.99429673568,164.50000000000003,24.93642,(sin((sin(sin((7.855676325907087+X)))+cos(cos(cos((sin(-4.819619645704343)/(cos((cos(cos((sin((-1.5895213348399797/13.599722811432855))/8.972844148478373)))*sin(14.140909393753986)))+(sin((X*sin(15.048938615569437)))+3.680391134331428))))))))+cos(X))
11,105300.23708518926,164.50000000000003,30.42462,(sin((sin(sin((7.855676325907087+X)))+cos(cos(cos((sin(-4.819619645704343)/(cos((cos(cos((sin((-1.5895213348399797/14.521947909343275))/8.972844148478373)))*sin(14.140909393753986)))+(sin((X*sin(15.048938615569437)))+3.680391134331428))))))))+cos(X))
12,169692.67915772,160.50000000000068,37.55784,(sin((cos(sin((16.01787555807955-sin(((9.407029584045464/14.140909393753986)+sin((cos(cos(sin(14.395372220387923)))+cos(X))))))))+cos(X)))+cos(X))
13,26021.649130959915,160.49999999999983,45.45806,(cos((cos(X)-cos(cos(sin(cos((cos(X)-9.72743634091591)))))))+cos(X))
14,203425060.92732677,160.49999999999983,54.39132,(cos((cos(X)-cos(cos(sin(cos((cos(X)-9.72743634091591)))))))+cos(X))
15,17780.621998316805,160.49999999999983,66.17268,(cos((cos(X)-cos(cos(sin(cos((cos(X)-9.72743634091591)))))))+cos(X))
16,418048.058759041,157.5000000000009,77.72424,(cos((((-4.819619645704343-cos((cos((X-(2.1466496457324675/sin((-1.873409673693069-cos(((X+8.481181001403042)/16.01787555807955)))))))/(sin(cos(sin((sin(4.897049970946185)/(9.306482665022134/cos(sin(16.01787555807955)))))))+8.567623412481877))))/(4.5461546283424585-(13.599722811432855+(4.5461546283424585-(cos((cos((sin(cos((10.903823675455266+(sin(sin(12.879305365824017))-X))))-X))*sin(cos(cos(cos(X))))))+cos(7.855676325907087))))))-(((cos(cos(((9.191318487856154+-1.9347325945796374)+cos(sin((sin(8.567623412481877)-((7.62681497119609+(9.549691402105656-9.306482665022134))+cos((((sin(-4.004573778155523)+sin((-4.004573778155523+(-4.819619645704343+X))))/16.263666215795517)-X)))))))))-(sin(((((cos(cos(-1.979270537257845))+9.297884419464705)-cos(cos(-1.5895213348399797)))*7.855676325907087)+4.614477692962376))*9.191318487856154))*-0.729093960532512)+sin(cos(X)))))+cos(X))
